model_a,model_b,elpd_a,elpd_b,elpd_diff,se_diff,direction,nimp_a,nimp_b,nobs,n_clusters
activity,null,-1708.093227628045,-1703.0550292389676,-5.038198389077533,32.44851388352293,positive favors activity,20,20,716,23
duration,null,-1768.306807564434,-1703.0550292389676,-65.25177832546635,22.17241785461576,positive favors duration,20,20,716,23
modality,null,-1806.061769155612,-1703.0550292389676,-103.00673991664452,101.68005567364295,positive favors modality,20,20,716,23
algorithm,null,-1701.935035286033,-1703.0550292389676,1.1199939529343288,16.95681337350981,positive favors algorithm,20,20,716,23
multimodal,null,-1727.253055617156,-1703.0550292389676,-24.19802637818852,30.61311289598315,positive favors multimodal,20,20,716,23
intruders,null,-1692.3328663790203,-1703.0550292389676,10.722162859947293,19.67434854806863,positive favors intruders,20,20,716,23
feature_type,null,-1674.7390212248422,-1703.0550292389676,28.316008014125327,41.58896890931398,positive favors feature_type,20,20,716,23
full,null,-1869.5900499535746,-1703.0550292389676,-166.53502071460713,105.55833627654177,positive favors full,20,20,716,23
