Model,elpd,delta,pareto
Null,-1703.1 (34.5),— (reference),0.68
Activity,-1708.1 (32.8),-5.0 (32.4),0.66
Duration,-1768.3 (34.0),-65.3 (22.2),0.75
Modality,-1806.1 (34.7),-103.0 (101.7),0.76
Algorithm family,-1701.9 (33.9),1.1 (17.0),0.75
Multimodality,-1727.3 (34.0),-24.2 (30.6),0.60
Intruders,-1692.3 (34.5),10.7 (19.7),0.66
Feature type,-1674.7 (34.4),28.3 (41.6),0.67
Full,-1869.6 (31.9),-166.5 (105.6),0.73
