Model,tau,tau2,r2
Null,"1.03 [0.73, 1.48]","1.05 [0.53, 2.18]","0.00 [0.00, 0.00]"
Activity,"1.00 [0.72, 1.44]","1.00 [0.51, 2.06]","0.05 [-1.57, 0.65]"
Duration,"1.06 [0.75, 1.53]","1.12 [0.56, 2.35]","-0.07 [-1.92, 0.61]"
Modality,"1.04 [0.75, 1.49]","1.09 [0.56, 2.21]","-0.03 [-1.77, 0.61]"
Algorithm family,"1.02 [0.71, 1.48]","1.03 [0.51, 2.18]","0.02 [-1.71, 0.64]"
Multimodality,"1.00 [0.71, 1.43]","0.99 [0.50, 2.05]","0.06 [-1.56, 0.65]"
Intruders,"1.02 [0.72, 1.47]","1.04 [0.52, 2.16]","0.02 [-1.69, 0.64]"
Feature type,"1.00 [0.69, 1.45]","0.99 [0.48, 2.09]","0.06 [-1.61, 0.66]"
Full,"1.02 [0.72, 1.49]","1.05 [0.52, 2.21]","0.01 [-1.73, 0.64]"
