model,metric,median,lower,upper
null,R2_meta,0,0,0
activity,R2_meta,0.04727912392375605,-1.5728090795169485,0.6465867074166892
duration,R2_meta,-0.0668929359712247,-1.9202401878804483,0.6087996640176837
modality,R2_meta,-0.033914867683570105,-1.774149088929443,0.6121810657101376
algorithm,R2_meta,0.01879352844422094,-1.7104288088821054,0.6449728262563047
multimodal,R2_meta,0.058046968285901224,-1.55981087833033,0.6518966480647933
intruders,R2_meta,0.01528435178863613,-1.692016318834222,0.6404731840880455
feature_type,R2_meta,0.060689210064039045,-1.6052265427947394,0.6623831347176334
full,R2_meta,0.006338438886525133,-1.7323825155422743,0.6379040127369219
