model,nimp,mean_per_imputation_elpd,min_per_imputation_elpd,max_per_imputation_elpd,pooled_elpd,pooled_se,max_pareto_k,n_problematic_imputations
null,20,-1497.4234378529645,-1504.006066355016,-1489.5592298466813,-1497.4234378529645,30.076411083451926,0.32512717210620534,0
activity,20,-1523.2051354950804,-1537.1637536211774,-1503.3200008824185,-1523.2051354950804,29.66421538790849,0.2787160434374881,0
duration,20,-1558.9996399301006,-1656.6810117530924,-1476.2335840830847,-1558.9996399301006,29.628969158824386,0.3296829253111784,0
modality,20,-1555.7631442927445,-1561.0702414980055,-1549.4652306448031,-1555.7631442927445,30.465926180421906,0.3514295669142604,0
algorithm,20,-1494.429630991893,-1500.391865316457,-1489.3553965819797,-1494.429630991893,29.520594838853,0.36897436460110394,0
multimodal,20,-1503.7807349457173,-1508.4515187032184,-1497.2834401314242,-1503.7807349457173,29.837560140727426,0.3346366116437221,0
intruders,20,-1482.8224089367184,-1494.1104897974349,-1475.8733573204331,-1482.8224089367184,29.880563968764807,0.348373393701679,0
feature_type,20,-1473.7257365125429,-1480.4877976406653,-1469.143413669076,-1473.7257365125429,29.509365097795023,0.3737698358286654,0
full,20,-1621.284855700917,-1718.3174235025187,-1545.39293088113,-1621.284855700917,28.873393143788793,0.30808190554105475,0
