Model,tau,tau2,r2
Null,"1.02 [0.73, 1.47]","1.04 [0.53, 2.15]","0.00 [0.00, 0.00]"
Activity,"0.97 [0.71, 1.40]","0.95 [0.50, 1.96]","0.08 [-1.45, 0.65]"
Duration,"1.07 [0.76, 1.54]","1.15 [0.58, 2.38]","-0.10 [-1.95, 0.59]"
Modality,"1.01 [0.72, 1.44]","1.01 [0.52, 2.08]","0.02 [-1.60, 0.63]"
Algorithm family,"1.02 [0.72, 1.47]","1.05 [0.52, 2.17]","-0.00 [-1.71, 0.63]"
Multimodality,"1.05 [0.75, 1.50]","1.10 [0.57, 2.25]","-0.06 [-1.84, 0.60]"
Intruders,"1.01 [0.72, 1.46]","1.02 [0.52, 2.13]","0.02 [-1.66, 0.64]"
Feature type,"1.00 [0.70, 1.45]","1.00 [0.50, 2.09]","0.04 [-1.61, 0.65]"
Full,"1.04 [0.74, 1.51]","1.09 [0.55, 2.29]","-0.05 [-1.85, 0.61]"
