Model,elpd,delta,pareto
Null,-1497.4 (30.1),— (reference),0.33
Activity,-1523.2 (29.7),-25.8 (6.7),0.28
Duration,-1559.0 (29.6),-61.6 (24.1),0.33
Modality,-1555.8 (30.5),-58.3 (105.7),0.35
Algorithm family,-1494.4 (29.5),3.0 (13.1),0.37
Multimodality,-1503.8 (29.8),-6.4 (8.4),0.33
Intruders,-1482.8 (29.9),14.6 (20.4),0.35
Feature type,-1473.7 (29.5),23.7 (32.5),0.37
Full,-1621.3 (28.9),-123.9 (114.9),0.31
