Model,tau,tau2,r2
Null,"1.23 [0.88, 1.81]","1.52 [0.77, 3.27]","0.00 [0.00, 0.00]"
Activity,"1.25 [0.89, 1.83]","1.56 [0.80, 3.35]","-0.02 [-1.68, 0.61]"
Duration,"1.34 [0.96, 1.93]","1.79 [0.92, 3.73]","-0.18 [-2.12, 0.56]"
Modality,"1.25 [0.88, 1.86]","1.55 [0.78, 3.44]","-0.02 [-1.68, 0.61]"
Algorithm family,"1.24 [0.88, 1.81]","1.53 [0.78, 3.28]","-0.01 [-1.63, 0.61]"
Multimodality,"1.21 [0.87, 1.79]","1.47 [0.75, 3.19]","0.03 [-1.71, 0.65]"
Intruders,"1.22 [0.87, 1.80]","1.50 [0.76, 3.25]","0.01 [-1.76, 0.64]"
Feature type,"1.24 [0.88, 1.82]","1.54 [0.78, 3.32]","-0.01 [-1.64, 0.61]"
Full,"1.36 [0.96, 1.99]","1.86 [0.93, 3.95]","-0.22 [-2.37, 0.56]"
