Model,elpd,delta,pareto
Null,-3212.3 (189.0),— (reference),9.28
Activity,-4072.2 (247.8),-859.9 (547.4),11.78
Duration,-4113.9 (269.3),-901.6 (406.9),15.30
Modality,-4060.5 (259.4),-848.2 (451.2),20.87
Algorithm family,-3334.4 (197.4),-122.1 (46.6),10.40
Multimodality,-3933.5 (267.8),-721.1 (639.2),12.49
Intruders,-3299.5 (198.2),-87.2 (60.3),11.53
Feature type,-3394.3 (199.9),-181.9 (71.9),9.10
Full,-6839.8 (460.9),-3627.5 (1851.7),24.26
