model_a,model_b,elpd_a,elpd_b,elpd_diff,se_diff,direction,nimp_a,nimp_b,nobs,n_clusters
activity,null,-4072.184942049475,-3212.328551712661,-859.8563903368138,547.4436172448648,positive favors activity,20,20,716,23
duration,null,-4113.892059919937,-3212.328551712661,-901.5635082072762,406.8752916453739,positive favors duration,20,20,716,23
modality,null,-4060.4923224874015,-3212.328551712661,-848.1637707747402,451.2087821317603,positive favors modality,20,20,716,23
algorithm,null,-3334.4001995667395,-3212.328551712661,-122.0716478540782,46.562223198867535,positive favors algorithm,20,20,716,23
multimodal,null,-3933.4563079811305,-3212.328551712661,-721.1277562684692,639.201462163257,positive favors multimodal,20,20,716,23
intruders,null,-3299.533096213702,-3212.328551712661,-87.20454450104056,60.28879384384664,positive favors intruders,20,20,716,23
feature_type,null,-3394.2669661896866,-3212.328551712661,-181.93841447702565,71.9412785739817,positive favors feature_type,20,20,716,23
full,null,-6839.817428368166,-3212.328551712661,-3627.488876655504,1851.6936078313279,positive favors full,20,20,716,23
