model,nimp,mean_per_imputation_elpd,min_per_imputation_elpd,max_per_imputation_elpd,pooled_elpd,pooled_se,max_pareto_k,n_problematic_imputations
null,20,-3212.3285517126615,-4107.433061265143,-2756.3181163114873,-3212.328551712661,189.0413525600765,9.284719152759092,20
activity,20,-4072.184942049475,-5111.593833365088,-3390.3282317239623,-4072.184942049475,247.77203102734586,11.777311203730088,20
duration,20,-4113.892059919937,-4718.439425751622,-3392.0096880046467,-4113.892059919937,269.3007559581613,15.297131034937038,20
modality,20,-4060.4923224874015,-5341.993675088973,-3449.9441861751156,-4060.4923224874015,259.4166902042943,20.868132102226426,20
algorithm,20,-3334.4001995667395,-4080.895316874576,-2857.2845301537345,-3334.4001995667395,197.41176930066263,10.40207130437918,20
multimodal,20,-3933.45630798113,-4603.446500028249,-3252.960073487326,-3933.4563079811305,267.8114093679475,12.49317087488259,20
intruders,20,-3299.533096213702,-3992.2524465586075,-2865.9375685616205,-3299.533096213702,198.17751932736536,11.53340855422284,20
feature_type,20,-3394.2669661896866,-4158.883250189355,-2899.368373678861,-3394.2669661896866,199.89440235815377,9.10077508473632,20
full,20,-6839.817428368166,-8241.258641629343,-5697.596739253554,-6839.817428368166,460.8972688329066,24.263900804285157,20
