modality,experiments,studies,study_ids
ECG,335,12,205; 253; 278; 330; 36; 43; 445; 447; 455; 460; 475; 495
PPG,231,13,205; 266; 278; 28; 298; 305; 374; 382; 401; 459; 486; 55; 61
EDA,22,2,189; 305
SCG,120,1,147
VHF,27,1,75
microphone,5,2,382; 61
multimodal,14,3,305; 382; 61
