model_a,model_b,elpd_a,elpd_b,elpd_diff,se_diff,direction,nimp_a,nimp_b,nobs,n_clusters
activity,null,-1226.7078642761862,-1223.3555095026995,-3.352354773486729,19.48318762279602,positive favors activity,1,1,587,17
duration,null,-1259.7618759628892,-1223.3555095026995,-36.40636646018982,16.086148039817054,positive favors duration,1,1,587,17
modality,null,-1299.3153378152524,-1223.3555095026995,-75.95982831255289,53.36837196793726,positive favors modality,1,1,587,17
algorithm,null,-1223.5495588296446,-1223.3555095026995,-0.19404932694513555,24.402197362032197,positive favors algorithm,1,1,587,17
multimodal,null,-1275.6216713799915,-1223.3555095026995,-52.266161877292134,38.37725349859898,positive favors multimodal,1,1,587,17
intruders,null,-1203.987040295249,-1223.3555095026995,19.368469207450488,22.073571604239312,positive favors intruders,1,1,587,17
feature_type,null,-1215.816097426831,-1223.3555095026995,7.539412075868556,35.69767684772248,positive favors feature_type,1,1,587,17
full,null,-1372.4680981255008,-1223.3555095026995,-149.11258862280118,67.72602824237805,positive favors full,1,1,587,17
