Model,elpd,delta,pareto
Null,-1223.4 (26.6),— (reference),0.64
Activity,-1226.7 (26.3),-3.4 (19.5),0.54
Duration,-1259.8 (26.3),-36.4 (16.1),0.64
Modality,-1299.3 (27.3),-76.0 (53.4),0.70
Algorithm family,-1223.5 (26.1),-0.2 (24.4),0.68
Multimodality,-1275.6 (27.8),-52.3 (38.4),0.41
Intruders,-1204.0 (26.4),19.4 (22.1),0.57
Feature type,-1215.8 (26.1),7.5 (35.7),0.51
Full,-1372.5 (28.7),-149.1 (67.7),0.64
