Model,tau,tau2,r2
Null,"1.16 [0.79, 1.72]","1.35 [0.63, 2.95]","0.00 [0.00, 0.00]"
Activity,"1.05 [0.73, 1.61]","1.10 [0.53, 2.60]","0.17 [-1.55, 0.73]"
Duration,"1.16 [0.80, 1.72]","1.36 [0.64, 2.96]","-0.00 [-1.97, 0.66]"
Modality,"1.20 [0.86, 1.78]","1.45 [0.73, 3.18]","-0.09 [-2.24, 0.62]"
Algorithm family,"1.13 [0.77, 1.70]","1.27 [0.59, 2.89]","0.06 [-1.78, 0.67]"
Multimodality,"1.13 [0.79, 1.67]","1.28 [0.62, 2.79]","0.05 [-1.75, 0.67]"
Intruders,"1.14 [0.77, 1.69]","1.29 [0.59, 2.86]","0.04 [-1.81, 0.68]"
Feature type,"1.13 [0.78, 1.69]","1.28 [0.61, 2.85]","0.05 [-1.82, 0.67]"
Full,"1.13 [0.79, 1.68]","1.29 [0.63, 2.83]","0.05 [-1.88, 0.68]"
