Model,tau,tau2,r2
Null,"1.18 [0.88, 1.63]","1.38 [0.78, 2.67]","0.00 [0.00, 0.00]"
Feature type,"1.18 [0.89, 1.65]","1.39 [0.78, 2.71]","-0.01 [-1.41, 0.58]"
