Model,tau,tau2,r2
Null,"1.14 [0.86, 1.58]","1.30 [0.73, 2.51]","0.00 [0.00, 0.00]"
Activity,"1.11 [0.82, 1.56]","1.24 [0.68, 2.44]","0.05 [-1.31, 0.61]"
Duration,"1.16 [0.87, 1.62]","1.35 [0.75, 2.63]","-0.04 [-1.51, 0.57]"
Modality,"1.13 [0.85, 1.58]","1.28 [0.72, 2.49]","0.01 [-1.38, 0.59]"
Algorithm family,"1.15 [0.86, 1.61]","1.32 [0.74, 2.58]","-0.02 [-1.46, 0.57]"
Multimodality,"1.12 [0.84, 1.56]","1.26 [0.70, 2.45]","0.03 [-1.33, 0.60]"
Intruders,"1.13 [0.85, 1.58]","1.28 [0.72, 2.49]","0.01 [-1.37, 0.59]"
Feature type,"1.12 [0.83, 1.57]","1.25 [0.70, 2.45]","0.04 [-1.32, 0.60]"
Full,"1.13 [0.83, 1.59]","1.27 [0.69, 2.54]","0.02 [-1.40, 0.60]"
