model,metric,median,lower,upper
null,R2_meta,0,0,0
activity,R2_meta,0.04713289834505979,-1.309475325751423,0.6077190532160208
duration,R2_meta,-0.037867070990956986,-1.5082595250070185,0.5689121116967786
modality,R2_meta,0.012999658872463071,-1.3755358786136462,0.5899562938135322
algorithm,R2_meta,-0.021219446453009105,-1.459974664780045,0.5710386585066474
multimodal,R2_meta,0.03134539067008435,-1.3252784075421142,0.5971320166843058
intruders,R2_meta,0.014860323366226835,-1.3656719901024883,0.5898744366556121
feature_type,R2_meta,0.03541559293634655,-1.3249084140040257,0.5968308706046208
full,R2_meta,0.021997976603677194,-1.3966484020724503,0.6029553547756555
