Model,elpd,delta,pareto
Null,-1700.7 (42.5),— (reference),0.66
Activity,-1735.3 (42.4),-34.6 (9.3),0.89
Duration,-1750.9 (42.8),-50.2 (17.7),0.87
Modality,-1784.7 (44.0),-84.0 (68.5),0.73
Algorithm family,-1708.2 (42.4),-7.5 (7.8),0.67
Multimodality,-1754.1 (43.1),-53.4 (42.2),0.85
Intruders,-1692.0 (43.0),8.8 (17.5),0.66
Feature type,-1690.5 (42.8),10.2 (32.4),0.67
Full,-1938.1 (45.4),-237.4 (104.8),1.02
