model,nimp,mean_per_imputation_elpd,min_per_imputation_elpd,max_per_imputation_elpd,pooled_elpd,pooled_se,max_pareto_k,n_problematic_imputations
null,20,-1579.6277148762956,-1587.1385878863034,-1571.6657543780332,-1579.6277148762956,32.850764779655584,0.3759852236048987,0
activity,20,-1649.1021202785723,-1673.1227263980577,-1619.980643553933,-1649.1021202785723,32.81054966675783,0.3663970670427922,0
duration,20,-1642.339848262377,-1743.2801326226481,-1564.6858330597438,-1642.339848262377,32.32535094460788,0.4089419619148844,0
modality,20,-1649.8486940369457,-1657.4249886723503,-1632.0663768227175,-1649.8486940369457,33.13023952464261,0.40974396931563684,0
algorithm,20,-1573.173902138347,-1580.086925633931,-1564.2101872708206,-1573.173902138347,32.33248873868621,0.3752277927798593,0
multimodal,20,-1616.7132216111559,-1624.3276347326616,-1608.81735797066,-1616.7132216111559,33.42196289755631,0.4216445857639819,0
intruders,20,-1559.3040609129166,-1574.2963226951606,-1551.6559230009118,-1559.3040609129166,32.5821538410138,0.3551956584438575,0
feature_type,20,-1547.2876564800747,-1555.7045985169038,-1536.9282896382838,-1547.2876564800747,32.18684942984522,0.4071827425588481,0
full,20,-1791.3014279895685,-1918.4128372218202,-1707.798383335823,-1791.3014279895685,32.08755237945503,0.4176537545299447,0
