Model,elpd,delta,pareto
Null,-1579.6 (32.9),— (reference),0.38
Activity,-1649.1 (32.8),-69.5 (24.0),0.37
Duration,-1642.3 (32.3),-62.7 (21.5),0.41
Modality,-1649.8 (33.1),-70.2 (88.4),0.41
Algorithm family,-1573.2 (32.3),6.5 (15.8),0.38
Multimodality,-1616.7 (33.4),-37.1 (12.1),0.42
Intruders,-1559.3 (32.6),20.3 (23.7),0.36
Feature type,-1547.3 (32.2),32.3 (36.4),0.41
Full,-1791.3 (32.1),-211.7 (132.5),0.42
