Model,tau,tau2,r2
Null,"0.96 [0.68, 1.38]","0.92 [0.46, 1.90]","0.00 [0.00, 0.00]"
Activity,"0.95 [0.69, 1.37]","0.91 [0.47, 1.88]","0.01 [-1.67, 0.63]"
Duration,"1.00 [0.70, 1.46]","1.00 [0.49, 2.12]","-0.09 [-2.02, 0.60]"
Modality,"0.97 [0.69, 1.40]","0.94 [0.48, 1.95]","-0.03 [-1.79, 0.62]"
Algorithm family,"0.95 [0.67, 1.38]","0.91 [0.44, 1.92]","0.01 [-1.71, 0.64]"
Multimodality,"0.98 [0.70, 1.41]","0.97 [0.49, 2.00]","-0.06 [-1.85, 0.61]"
Intruders,"0.95 [0.67, 1.37]","0.90 [0.45, 1.88]","0.02 [-1.68, 0.64]"
Feature type,"0.93 [0.65, 1.36]","0.87 [0.42, 1.84]","0.05 [-1.61, 0.66]"
Full,"1.01 [0.71, 1.47]","1.02 [0.51, 2.17]","-0.12 [-2.09, 0.60]"
