model,metric,median,lower,upper
null,R2_meta,0,0,0
activity,R2_meta,0.006781018679345219,-1.6676194761434553,0.6306031604304626
duration,R2_meta,-0.08686231443776549,-2.0246643825621926,0.6024160928147793
modality,R2_meta,-0.02805159590993045,-1.7911114939766495,0.6213557334569998
algorithm,R2_meta,0.01085158035550532,-1.7094820241803426,0.6421163481506271
multimodal,R2_meta,-0.058927864558174003,-1.8547752928817471,0.6079377546779354
intruders,R2_meta,0.01727716096833798,-1.6786921390442822,0.64223823945118
feature_type,R2_meta,0.05435721920865927,-1.6137672911234928,0.6596499593401929
full,R2_meta,-0.11698220344645127,-2.091048204246447,0.5953834943517559
