model_a,model_b,elpd_a,elpd_b,elpd_diff,se_diff,direction,nimp_a,nimp_b,nobs,n_clusters
activity,null,-1670.436178428143,-1676.2811041256375,5.844925697494478,25.706449943112307,positive favors activity,20,20,716,23
duration,null,-1706.451135738795,-1676.2811041256375,-30.17003161315759,20.233275783787875,positive favors duration,20,20,716,23
modality,null,-1736.7630466713322,-1676.2811041256375,-60.481942545694785,86.19849717319033,positive favors modality,20,20,716,23
algorithm,null,-1685.4891522303965,-1676.2811041256375,-9.208048104759095,9.504438797813165,positive favors algorithm,20,20,716,23
multimodal,null,-1722.8534085786307,-1676.2811041256375,-46.572304452993265,29.58051784782209,positive favors multimodal,20,20,716,23
intruders,null,-1669.2999441372926,-1676.2811041256375,6.981159988344917,15.4370980195116,positive favors intruders,20,20,716,23
feature_type,null,-1654.815795769852,-1676.2811041256375,21.465308355785364,34.51329693703855,positive favors feature_type,20,20,716,23
full,null,-1845.0417293469463,-1676.2811041256375,-168.76062522130894,105.6564553021155,positive favors full,20,20,716,23
