model,metric,median,lower,upper
null,R2_meta,0,0,0
activity,R2_meta,0.16334892306854926,-1.0696272354802001,0.6582289826642094
duration,R2_meta,-0.033709670039753226,-1.5329738546086933,0.5765263319809779
modality,R2_meta,0.04111102229025626,-1.3216060427427214,0.6023735816710072
algorithm,R2_meta,-0.022397089537404602,-1.4874154769537273,0.581674358694961
multimodal,R2_meta,0.026190252000686587,-1.3593303944861594,0.5977849900448818
intruders,R2_meta,0.015003983201604953,-1.3887323000998282,0.5926745595052073
feature_type,R2_meta,0.041066623610562014,-1.3409934735590598,0.6084649312879666
full,R2_meta,0.07624959960993383,-1.3181400803801904,0.63430175666402
