Model,elpd,delta,pareto
Null,-1676.3 (35.6),— (reference),0.39
Activity,-1670.4 (33.7),5.8 (25.7),0.41
Duration,-1706.5 (35.6),-30.2 (20.2),0.48
Modality,-1736.8 (35.0),-60.5 (86.2),0.37
Algorithm family,-1685.5 (35.3),-9.2 (9.5),0.40
Multimodality,-1722.9 (35.4),-46.6 (29.6),0.39
Intruders,-1669.3 (35.8),7.0 (15.4),0.37
Feature type,-1654.8 (35.5),21.5 (34.5),0.41
Full,-1845.0 (34.2),-168.8 (105.7),0.45
