Model,tau,tau2,r2
Null,"1.17 [0.87, 1.63]","1.37 [0.76, 2.66]","0.00 [0.00, 0.00]"
Activity,"1.07 [0.79, 1.52]","1.15 [0.62, 2.32]","0.16 [-1.07, 0.66]"
Duration,"1.19 [0.88, 1.67]","1.42 [0.77, 2.80]","-0.03 [-1.53, 0.58]"
Modality,"1.15 [0.86, 1.60]","1.31 [0.73, 2.57]","0.04 [-1.32, 0.60]"
Algorithm family,"1.18 [0.87, 1.66]","1.40 [0.76, 2.74]","-0.02 [-1.49, 0.58]"
Multimodality,"1.16 [0.86, 1.62]","1.34 [0.74, 2.61]","0.03 [-1.36, 0.60]"
Intruders,"1.16 [0.86, 1.63]","1.36 [0.75, 2.64]","0.02 [-1.39, 0.59]"
Feature type,"1.15 [0.84, 1.61]","1.32 [0.71, 2.60]","0.04 [-1.34, 0.61]"
Full,"1.13 [0.81, 1.61]","1.28 [0.66, 2.59]","0.08 [-1.32, 0.63]"
