model,metric,median,lower,upper
null,R2_meta,0,0,0
activity,R2_meta,0.13105629364818777,-1.1483935735866495,0.6487871507964696
duration,R2_meta,-0.02031538064675087,-1.4595754325481898,0.576792972088566
modality,R2_meta,0.030505921662664248,-1.3413757709544543,0.5954641318837764
algorithm,R2_meta,-0.01871315410702523,-1.4428401942788613,0.5805504974802573
multimodal,R2_meta,0.01954157763072678,-1.3485699803744515,0.594397817383572
feature_type,R2_meta,0.03969625015528494,-1.3168257060157142,0.6037076526611826
intruders,R2_meta,0.011408277894293994,-1.3690325349305938,0.5873570445975206
full,R2_meta,0.05958085656149009,-1.3178920115884785,0.6211502057002167
