Model,elpd,delta,pareto
Null,-1681.2 (35.5),— (reference),0.49
Activity,-1685.1 (33.9),-3.9 (19.2),0.49
Duration,-1713.5 (35.2),-32.3 (11.9),0.72
Modality,-1741.7 (35.3),-60.5 (76.5),0.46
Algorithm family,-1689.8 (35.4),-8.6 (8.4),0.46
Multimodality,-1727.2 (35.4),-46.0 (29.9),0.39
Intruders,-1671.6 (35.8),9.6 (16.0),0.42
Feature type,-1662.0 (35.5),19.2 (34.7),0.46
Full,-1850.3 (34.5),-169.1 (95.3),0.72
