Model,main,gaussian,student_nu4,sigma_intercept,sigma_re,sigma_cov_re,feature_collapse,duration_collapse,se_unknown,complete_case
Activity,-4 (19),-860 (547),-35 (9),-26 (7),-69 (24),-5 (32),n/a,6 (26),-6 (19),-3 (19)
Duration,-32 (12),-902 (407),-50 (18),-62 (24),-63 (21),-65 (22),n/a,-30 (20),-34 (12),-36 (16)
Modality,-61 (76),-848 (451),-84 (68),-58 (106),-70 (88),-103 (102),n/a,-60 (86),-62 (77),-76 (53)
Algorithm family,-9 (8),-122 (47),-7 (8),3 (13),6 (16),1 (17),n/a,-9 (10),-10 (8),0 (24)
Multimodality,-46 (30),-721 (639),-53 (42),-6 (8),-37 (12),-24 (31),n/a,-47 (30),-48 (31),-52 (38)
Intruders,10 (16),-87 (60),9 (18),15 (20),20 (24),11 (20),n/a,7 (15),6 (15),19 (22)
Feature type,19 (35),-182 (72),10 (32),24 (33),32 (36),28 (42),-28 (10),21 (35),17 (34),8 (36)
Full,-169 (95),-3627 (1852),-237 (105),-124 (115),-212 (133),-167 (106),n/a,-169 (106),-172 (97),-149 (68)
