Model,main,gaussian,student_nu4,sigma_intercept,sigma_re,sigma_cov_re,feature_collapse,duration_collapse,se_unknown,complete_case
Null,1.18,1.23,1.14,1.02,0.96,1.03,1.18,1.17,1.18,1.16
Activity,1.10,1.25,1.11,0.97,0.95,1.00,n/a,1.07,1.10,1.05
Duration,1.19,1.34,1.16,1.07,1.00,1.06,n/a,1.19,1.19,1.16
Modality,1.16,1.25,1.13,1.01,0.97,1.04,n/a,1.15,1.16,1.20
Algorithm family,1.19,1.24,1.15,1.02,0.95,1.02,n/a,1.18,1.19,1.13
Multimodality,1.17,1.21,1.12,1.05,0.98,1.00,n/a,1.16,1.17,1.13
Intruders,1.17,1.22,1.13,1.01,0.95,1.02,n/a,1.16,1.17,1.14
Feature type,1.15,1.24,1.12,1.00,0.93,1.00,1.18,1.15,1.16,1.13
Full,1.14,1.36,1.13,1.04,1.01,1.02,n/a,1.13,1.14,1.13
