model,main,gaussian,student_nu4,sigma_intercept,sigma_re,sigma_cov_re,feature_collapse,duration_collapse,se_unknown,complete_case
null,1.17675255,1.23230895,1.13825705,1.0202765,0.957069305,1.0257806500000002,1.17634625,1.1709234,1.1758298,1.1605471
activity,1.09717425,1.24738105,1.1119986,0.97436843,0.95293227,0.99982249,NA,1.0710287,1.09740335,1.0508492
duration,1.18986605,1.3376673499999998,1.1600775,1.07081035,0.998917595,1.0593856,NA,1.1916408500000002,1.1892642,1.16454795
modality,1.15910175,1.2469245,1.13024105,1.00742545,0.97060716,1.0425451,NA,1.14603665,1.15791145,1.2039391
algorithm,1.1880316,1.23689375,1.151019,1.02257785,0.952434875,1.0170222,NA,1.18489185,1.18842745,1.12543885
multimodal,1.166976,1.2136592,1.12270695,1.0486727,0.98473242,0.995847015,NA,1.15733275,1.1658302,1.1294669
intruders,1.1719588,1.2248674,1.1316576,1.0108529,0.94818607,1.0192272,NA,1.16425315,1.1707969500000002,1.13563195
feature_type,1.1539819,1.2409848,1.11883545,0.99817955,0.93155953,0.99513548,1.1810488499999998,1.1477639,1.1556776,1.1300992
full,1.1440848,1.36409825,1.12828905,1.04479685,1.011821,1.0234619,NA,1.12919275,1.1449297,1.13464065
