model_a,model_b,elpd_a,elpd_b,elpd_diff,se_diff,direction,nimp_a,nimp_b,nobs,n_clusters
activity,null,-1686.3761821855903,-1680.5282944044532,-5.847887781137048,19.017513321855464,positive favors activity,20,20,716,23
duration,null,-1714.354162758014,-1680.5282944044532,-33.825868353560644,12.412637230761916,positive favors duration,20,20,716,23
modality,null,-1742.800969253932,-1680.5282944044532,-62.27267484947878,76.52445883779569,positive favors modality,20,20,716,23
algorithm,null,-1690.336364584823,-1680.5282944044532,-9.808070180369944,8.41984216377556,positive favors algorithm,20,20,716,23
multimodal,null,-1728.9622756091778,-1680.5282944044532,-48.4339812047245,31.284629428331147,positive favors multimodal,20,20,716,23
intruders,null,-1674.8247296507016,-1680.5282944044532,5.7035647537516,15.39912180041207,positive favors intruders,20,20,716,23
feature_type,null,-1663.5290905278866,-1680.5282944044532,16.99920387656651,34.13903997607375,positive favors feature_type,20,20,716,23
full,null,-1852.9977100110725,-1680.5282944044532,-172.4694156066192,96.55811975005366,positive favors full,20,20,716,23
