model,metric,median,lower,upper
null,R2_meta,0,0,0
activity,R2_meta,0.12965064006159316,-1.1664257126200877,0.6458439000607034
duration,R2_meta,-0.023895686462711896,-1.4657932569975216,0.5753323366675666
modality,R2_meta,0.029941953180587733,-1.333867146971316,0.5953142876244939
algorithm,R2_meta,-0.02277662402001346,-1.459235738060775,0.5738285427880089
multimodal,R2_meta,0.019359015117034972,-1.3587991396813204,0.5928626153142883
intruders,R2_meta,0.011425179018426823,-1.365831441080623,0.5863412735680156
feature_type,R2_meta,0.03245678577194505,-1.3350946381151698,0.6015581998020075
full,R2_meta,0.05650677831019102,-1.330187783539907,0.6183734300705347
