model,nimp,mean_per_imputation_elpd,min_per_imputation_elpd,max_per_imputation_elpd,pooled_elpd,pooled_se,max_pareto_k,n_problematic_imputations
null,20,-1680.5282944044532,-1700.669054442195,-1657.499786809285,-1680.5282944044532,35.53837851952509,0.466134089364748,0
activity,20,-1686.3761821855903,-1723.3656503313498,-1658.9357651260514,-1686.3761821855903,33.82071656113632,0.7259546418548907,1
duration,20,-1714.354162758014,-1753.7246809631056,-1690.293824433511,-1714.354162758014,35.2167278250364,0.693909960683371,0
modality,20,-1742.800969253932,-1767.2465132218585,-1717.2504845024857,-1742.800969253932,35.28573121637247,0.4981129251201329,0
algorithm,20,-1690.336364584823,-1708.92495288311,-1669.244788141415,-1690.336364584823,35.33921576883732,0.5239911499562413,0
multimodal,20,-1728.9622756091776,-1746.803582071029,-1708.2281838993374,-1728.9622756091778,35.5323797431892,0.38370614836591765,0
intruders,20,-1674.8247296507016,-1698.0770454114945,-1651.9435469409236,-1674.8247296507016,35.77084657378004,0.4133998845577542,0
feature_type,20,-1663.5290905278866,-1685.8351607846505,-1642.4238026772211,-1663.5290905278866,35.48216076401118,0.39830899947040055,0
full,20,-1852.9977100110725,-1912.8607157211848,-1815.2434504907126,-1852.9977100110725,34.61833113779765,0.676676867828911,0
